Unnamed: 0,parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label,label_numbers,cluster_as_filename
0,AllenCCF-Annotation-2020-997,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,987,3564320.0,3.5643200000000004,#FFFFFF,255,255,255,brain,brain,organ,0,0,,997,brain
1,AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,63,256520.0,0.25652,#FFFFFF,255,255,255,brain,brain,organ,0,0,,68,brain
2,AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,63,256520.0,0.25652,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997,68,grey
3,AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,63,256520.0,0.25652,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8,68,Isocortex
4,AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,63,256520.0,0.25652,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315,68,FRP
5,AllenCCF-Annotation-2020-68,AllenCCF-Ontology-2017-68,AllenCCF-Ontology-2017-SUBS,63,256520.0,0.25652,#268F45,38,143,69,"Frontal pole, layer 1",FRP1,substructure,4,1,AllenCCF-Ontology-2017-184,68,FRP1
6,AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,657,232608.0,0.232608,#FFFFFF,255,255,255,brain,brain,organ,0,0,,667,brain
7,AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,657,232608.0,0.232608,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997,667,grey
8,AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,657,232608.0,0.232608,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8,667,Isocortex
9,AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,657,232608.0,0.232608,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315,667,FRP
10,AllenCCF-Annotation-2020-667,AllenCCF-Ontology-2017-667,AllenCCF-Ontology-2017-SUBS,657,232608.0,0.232608,#268F45,38,143,69,"Frontal pole, layer 2/3",FRP2/3,substructure,4,2,AllenCCF-Ontology-2017-184,667,FRP23
11,AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1288,371584.0,0.3715840000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,,526157192,brain
12,AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1288,371584.0,0.3715840000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997,526157192,grey
13,AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1288,371584.0,0.3715840000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8,526157192,Isocortex
14,AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1288,371584.0,0.3715840000000001,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315,526157192,FRP
15,AllenCCF-Annotation-2020-526157192,AllenCCF-Ontology-2017-526157192,AllenCCF-Ontology-2017-SUBS,1288,371584.0,0.3715840000000001,#268F45,38,143,69,"Frontal pole, layer 5",FRP5,substructure,4,3,AllenCCF-Ontology-2017-184,526157192,FRP5
16,AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1289,112222.0,0.112222,#FFFFFF,255,255,255,brain,brain,organ,0,0,,526157196,brain
17,AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1289,112222.0,0.112222,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997,526157196,grey
18,AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1289,112222.0,0.112222,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8,526157196,Isocortex
19,AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1289,112222.0,0.112222,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315,526157196,FRP
20,AllenCCF-Annotation-2020-526157196,AllenCCF-Ontology-2017-526157196,AllenCCF-Ontology-2017-SUBS,1289,112222.0,0.112222,#268F45,38,143,69,"Frontal pole, layer 6a",FRP6a,substructure,4,4,AllenCCF-Ontology-2017-184,526157196,FRP6a
21,AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1290,942.0,0.000942,#FFFFFF,255,255,255,brain,brain,organ,0,0,,526322264,brain
22,AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,1290,942.0,0.000942,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997,526322264,grey
23,AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,1290,942.0,0.000942,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8,526322264,Isocortex
24,AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-184,AllenCCF-Ontology-2017-STRU,1290,942.0,0.000942,#268F45,38,143,69,"Frontal pole, cerebral cortex",FRP,structure,3,1,AllenCCF-Ontology-2017-315,526322264,FRP
25,AllenCCF-Annotation-2020-526322264,AllenCCF-Ontology-2017-526322264,AllenCCF-Ontology-2017-SUBS,1290,942.0,0.000942,#268F45,38,143,69,"Frontal pole, layer 6b",FRP6b,substructure,4,5,AllenCCF-Ontology-2017-184,526322264,FRP6b
26,AllenCCF-Annotation-2020-320,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,310,1328982.0,1.3289820000000003,#FFFFFF,255,255,255,brain,brain,organ,0,0,,320,brain
