,Rims1,Satb2,Dpp10,Prox1,Lhx6,Zeb2,Nr4a2,Meis2,Tshz2,Stmn2,Fstl5,Ntng1,Gm26871,Slc24a2,Elavl2,Dab1,Elavl4,Agbl4,Cacna2d1,Gabrb1,Nxph1,Grm8,Tafa1,Chl1,Zfp536,B230209E15Rik,Nr2f2,Hs3st4,Dlgap2,Spock3,Vat1l,Nrgn,Dscaml1,Unc13c,Cacna2d2,Vip,Lrrtm3,Rmst,Ebf1,Vsnl1,Lrfn5,Chrm3,Spock1,Edil3,Rasgrf2,Hcn1,Otx2os1,Pdzrn4,Robo1,Dscam,Baiap3,Gria3,Tenm1,Frmpd4
0063 L5 IT CTX Glut_4,10.468662307375954,8.452148732684908,13.262062799362909,0.0,0.0,7.359017462957473,0.0,0.0,1.527499789283389,8.763973735627674,0.0,0.0,7.624992870149159,10.561028139931816,7.741309620085216,9.220619564964656,8.79080073038737,10.19209707350958,9.12996055966332,8.393094744001116,0.0,7.792116948536464,3.1677997339339483,6.975278627304804,0.0,7.822592247100103,0.0,9.292893773033503,9.872775282178608,7.209593261991229,0.0,10.329942385355633,0.0,0.0,0.1059710865929013,0.0,9.01300151007516,0.2221137569064185,0.0,9.352909042721702,9.191318897973924,8.458616631371635,9.615793727693104,7.915968406768072,0.1094779287065778,8.138201372964042,0.0,0.8190768786839077,0.0,9.790008840106784,0.0,9.54916206995646,7.2197349071502686,9.529301870436896
0365 L5 ET CTX Glut_3,8.393073039856391,7.135401980489747,12.196467444428013,0.0,0.0,6.019406904861798,0.3064904063515514,8.62951408695971,5.656143440819873,8.430629708488443,7.497232187167872,8.408658006592015,6.657916776814692,8.785392660700698,7.326071513684047,10.80743439992269,6.9183975848716885,8.243823857728572,7.848585533620286,7.724333526741745,0.0,8.41406476939166,11.956320029038649,7.778689679936466,0.0,7.783528733457255,0.0,3.36088512052498,9.49775595135159,4.893407041870291,8.167538101516898,11.212747874083345,8.8731419503519,0.0,1.2914832847410458,0.0,8.303104181914588,0.0,0.0,9.370558964221226,9.683463819346198,9.57237710844078,1.93725674444454,9.063288378919292,4.051421526490453,10.483677830111947,0.0,2.622584865643428,9.980050342375057,9.227906557229849,0.0,9.933101617372952,5.33793496983683,8.736490805264552
4606 Pineal Crx Glut_1,0.0,0.0,3.293252553258623,0.0,0.0,6.620444430245294,0.0571104704387604,0.0,2.2606644024924627,0.0,0.0,0.0,0.0,9.374822714972115,0.0,0.0,0.0,3.907950893280998,8.882785028881496,0.0,0.0,0.0,0.0,0.0,8.103892568557981,0.0,0.4403343162839375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0799307690726385,0.0,0.0,0.0,0.1943709925999717,0.0,0.0,9.718501529996358,0.0,8.373478418304806,5.38702078281887,0.0,11.829949931492882,0.0,0.0,5.658002306544591,0.0,0.0,0.0,0.0
0049 L6 IT CTX Glut_4,9.456908485211365,8.528319385073601,11.578236363349705,0.0,0.0,8.669752817635143,7.142305046046546,3.731962424352629,0.0,8.598343868868067,1.059490760531994,5.320336547466593,8.496246218681335,8.52584116393273,8.009399399298047,8.714758878454155,7.290177788209478,8.137732367449944,8.592933726420096,9.259490052494431,0.0,9.32398937601562,1.9581309056610143,7.498792748932445,0.0,7.602395805743856,0.0,0.0,10.602500098560927,1.0822278952926672,0.5812705845460979,10.792438699564803,7.646782859202919,0.0,0.0,0.0,7.549935266512249,5.4266695738385575,0.0,9.13384515648588,8.712897753496783,8.413849147087937,7.498386443208117,3.987086354592525,1.387918156494788,8.814105087464009,0.0,0.0,4.999256782028653,7.836484508230052,0.0,9.333486484825064,7.835968140068404,8.900267640385058
0042 L6 IT CTX Glut_2,9.888780076278277,8.306304352369485,11.77347039541022,0.0,0.0,8.919899762587226,1.4124769918090303,6.842121865170553,0.0,8.832444548025741,0.0,2.758907783872166,7.903703013448929,11.013129843648937,6.782339141629987,7.30251790177795,7.903434331749491,8.587713625278417,8.928328692002617,9.111344752158288,0.0,8.218817878707029,1.657273203589756,6.135049042005914,0.0,7.563220466543104,0.0,1.075936008049832,9.65785741139667,1.0260183687213182,0.0,11.718828969316355,6.73677389707742,0.0,0.0,0.0,7.52696558930946,0.0,0.0,9.006817091197057,8.960906901218538,9.663540862154411,8.706551135884192,7.847732079815547,1.1717478308462268,7.75842367645824,0.0,2.5354845368091183,7.397393914837322,8.087501363162295,0.0,9.494920681620869,7.436646737485185,8.985530375039612
0247 LA-BLA-BMA-PA Glut_5,9.24076191717837,3.092625974607067,10.953579085213798,0.0,0.0,8.802578878002006,8.162023335945706,0.0,1.4691039914844417,8.731188421489811,5.104835231764977,8.479522845324349,8.347705957268467,6.354214419837759,7.038008273148737,7.244118702511828,7.872937839572169,8.749385064389525,8.90816947392055,9.603926482320832,0.0,9.303417069571358,10.187698260074905,7.943515280715558,0.883641072681972,7.747152152181673,9.189250232792702,6.396557795901258,9.689563174207672,6.725253049065085,4.399398703535064,10.709972381591797,7.284237412845387,0.0,0.0,0.0,7.324517378286154,6.901764140409582,0.0,9.981640439073578,9.646267177677956,5.922437373329611,8.371349543082614,8.546604477056936,0.5431997776031494,9.197948063121125,0.0,6.353942506453571,7.123847340335365,6.658049459216976,0.0,9.97730333664838,8.321208877723757,8.613751467536478
0322 L2 IT PPP-APr Glut_2,9.603115634260506,8.498703663924644,9.051043964254443,0.0,0.0,7.352186564741464,0.2762563475247087,5.043060421121531,11.47139492034912,7.972262247677507,4.021663481613685,2.7143988017378184,7.256583792587806,9.211271897677715,2.600170615623737,11.298447608947754,7.3811430832435345,8.567381194542195,8.537863774135195,9.68377488892654,0.0,0.0,0.0,7.09381230452965,0.0,7.728647738489611,0.0,0.0,9.432859552317652,0.0316871807493012,2.544683410381449,10.973347374488569,7.602394107292438,0.0,0.0,0.0,9.4983195140444,0.0,0.0,9.418886270194218,9.48668005713101,0.0,6.165731407033986,8.784468598201357,7.564316082000732,8.93815679879024,0.0,0.0,2.7592960028812805,9.467188572061472,0.0,10.2744739664012,0.0,9.071668289447652
0506 DG Glut_2,9.720482240643417,0.0,0.0,8.420452752920971,0.0,9.933270515076623,0.0,0.0,0.0,0.0,0.0,8.430140553546511,8.14748232175843,9.630549016009004,0.0,10.920267557624832,0.0,0.0,9.02919896256046,9.826275457728396,0.0,0.0,9.45619073768662,7.966010808436514,3.971753836029923,5.003349500438154,0.0,0.0,9.658651762857732,6.941712684446836,0.0,10.700044175057474,7.398765251780753,0.0,0.0,0.0,2.447157184302484,0.0,0.0,1.9533967759144424,9.888663357135645,0.0,0.0,6.103259174173671,4.79863609675795,0.0,0.0,0.0,3.294342843093409,8.982703073667022,0.0,8.55608512003083,8.108696996667264,9.024485361812584
0324 L2 IT PPP-APr Glut_2,10.331373502882265,8.066741022846395,8.72353514778814,0.0,0.0,0.0,0.77583983762087,9.01422727937035,11.790229367409394,8.289729722112202,5.651467239828133,9.121297758546092,6.994615005932266,7.979721402092803,0.0,11.644121469639474,7.692338830275501,8.612888540867136,8.63372331957737,9.492840165428692,0.0,0.0,0.0,7.831082546453682,0.0,7.862850033693748,0.0,0.0,8.81027551234769,3.199092735775369,4.569012766547626,10.844617745287414,6.337820284086452,0.0,0.0,0.0,9.64818149219028,0.6800884297139925,0.0,9.16716117996106,9.913940361077836,0.0,2.349432765722846,8.043982462345554,7.698747164911503,9.35916405959095,0.0,0.0,9.536186245705585,8.876161369488393,0.0,9.889867611068617,0.0,9.395723809441217
0288 CA1-ProS Glut_4,9.506287163954514,5.032797424609845,2.6454658288222093,0.0,0.0,9.86662264603835,8.886140691317046,9.39819410764254,0.0,7.810673258854792,0.0,7.577939481001634,9.160031553415152,9.255466255774865,3.7579023104447584,10.638387093177208,6.375294751387376,7.707935333251953,9.828502816420334,10.22728363917424,0.0,0.0,10.398089937063364,8.700878656827486,0.0,7.686632860623873,6.439475462986873,0.0,10.280170470017651,2.109641016446627,1.0758795298062838,10.755987900954027,8.379321575164795,0.0,0.0,0.0,0.0,0.0,0.0,8.264495035318228,9.3147980763362,3.287023536975567,7.020399504441482,7.00552256657527,2.770792653010442,10.176823821434608,0.0,0.0,7.244101318946251,4.232639404443594,0.0,9.70894035926232,8.139775048769437,9.29561870281513
0008 IT EP-CLA Glut_1,9.865709950623003,8.538392712769,11.20993768590168,0.0,0.0,8.738696340604122,8.97408689418657,8.467208367721163,0.0,8.255054071111587,0.0,0.166330348133655,9.01158734355544,9.632638675109469,7.57867842584752,8.126822757875264,7.215156757330046,8.293613441167912,8.900794751435807,9.771952505636367,0.0,8.308645625716274,0.0,7.457093846064941,0.0,7.686259385065739,0.0,0.656378021132213,10.181221336994357,0.0,2.639561128076226,10.583186176602508,7.920796774351867,0.0,0.0,0.0,7.508867045050686,1.3030925607218329,0.0,9.0457228950698,6.606102000934021,9.620543734541217,8.038977249540558,2.609797736587648,4.507684560462495,8.225496156701764,0.0,4.362136577132451,0.918153984646967,8.170691578905174,0.0,9.787058659741794,8.253771712864873,9.02853402427871
0232 LA-BLA-BMA-PA Glut_2,9.054083280977997,0.0,9.334051729285198,0.0,0.0,8.260556306009708,8.365390230261761,8.974314264629198,0.4324324815169624,8.201155977663786,0.745166043613268,2.8480735343435537,9.071946712162184,8.838587157622628,6.735506503478341,9.294586587988812,7.068284779009612,7.3703302030978,9.702197630509088,9.877884433580482,0.0,1.6683272620906,10.747439011283545,8.036718828781792,0.0,7.686802924197653,8.599444926303367,4.99216700533162,9.785455189580505,7.407901425983595,2.372316940971043,10.614627274222997,7.771421500910884,0.0,0.0,0.0,7.906447622050409,0.0,0.0,8.314440998823747,9.132855834131655,2.224402352001356,8.356344233388485,8.516812538064045,6.431374601695849,9.530627267257026,0.0,6.9006964828657065,8.644181506530098,5.284297475607499,0.0,9.600004254216731,9.192938033394192,8.68916391082432
0426 L6b CTX Glut_1,9.854612012002985,8.14558244966993,13.014672657087738,0.0,0.0,6.687244602745655,7.358199395852931,0.0,0.5313477523186627,8.607983777102302,0.0,0.0,8.433797456236446,10.31392266890582,8.484372239486843,4.830642804912492,8.33396441375508,9.035029208426382,7.766040289635752,8.96605196092643,0.0,5.849172764665941,0.0,8.577832394955205,0.0,8.271330863354253,0.0,10.592846106547936,9.331467577055388,0.0,0.0,8.458189463615417,7.1275049779929365,0.0,0.0,0.0,8.52473311844994,0.0,0.0,8.851737740460564,7.495751710031547,9.600047354604683,8.934173785938937,0.0,0.0,7.676223637075985,0.0,4.801691806783863,2.726386044305914,8.870078136406693,0.0,9.034151365242751,8.808903670778461,11.45218433866314
0278 CA1-ProS Glut_3,8.978388786315918,0.0,8.653617678017453,0.0,0.0,8.656978640063056,5.959777733375287,0.0,0.0,9.08648809893378,4.057202651582915,9.339344419282058,6.379205802391315,10.94929862844533,1.896534278475005,10.563941889795764,8.359559289340314,9.446653267432904,7.998453074488147,9.938487710623903,0.0,8.569389178835113,0.0,8.356226723769616,0.0,7.661607018832503,1.1988999432530896,9.276455780555462,8.47734152037522,0.2494959913451096,3.164114442364923,11.503479431415428,8.491904735565186,0.0,4.7472060795488025,0.0,7.734911096507106,0.0,0.0,8.985180854797363,9.958498625919736,6.319564145186852,5.029727508281839,4.815050363540649,2.0728477280715416,9.914410295157596,0.0,8.63008295256516,6.630629786129656,8.536366561363483,0.0,9.790814892999055,7.195423948353734,9.045298609240302
0742 Pvalb Gaba_3,9.114615180717692,0.0,8.865454156734277,0.0,6.73028539541544,9.308913144993992,0.0,0.0,0.0,8.028049855391076,2.002239746353725,3.8443930762548337,0.3733378662534671,10.34504924964775,9.409632901931442,7.82694610732498,7.554696604964038,7.927705566385504,0.0,7.480046011978554,10.596552745085196,0.0,0.0,6.821862943313464,8.579760055814285,7.309657743883165,0.0,0.0,10.330294000624312,8.466958624096163,0.0,5.605127649838871,7.29587587558194,0.0,7.473188469314316,0.0,7.883053631623694,0.0,0.0,8.440268131278147,7.873252342543093,5.395660118615846,8.199850075590133,6.91838806101775,8.31895536812368,10.063334058207934,0.0,0.0,9.605670264105989,0.0,0.0,9.05101769801956,8.69080854580566,6.55845836722713
