,bAC,bIR,bNAC,bSTUT,cAC,cADpyr,cIR,cNAC,cSTUT,dNAC,dSTUT
AAA,13642.960359232415,7388.022628279856,12678.735694730884,2939.3191678182047,21618.896400621023,11435.747608777992,2537.236584509818,6218.253954527905,3614.3339264652095,1752.112100602314,3021.5315374799025
ACAd1,2799.640015210723,1121.9772817594182,1715.8248962109535,190.19732724160372,2006.1129829209199,7037.917440184353,146.2809372911884,513.474337895739,224.18290031618668,111.88753609957845,476.84427046060745
ACAd23,13098.15545186738,5396.225644725026,8453.156564446062,1068.118306802084,10729.650630196564,63898.35431113458,813.971275870259,2714.38560188651,1278.8905660499793,675.6915494275939,2412.390997805225
ACAd5,6960.326342522357,3182.8329192654674,5021.44842122241,866.551336992609,7442.602045349811,23646.689690672774,719.4156750694459,2128.219117737223,1037.0143495256755,488.06168698927,1217.2902681695157
ACAd6a,11254.728651100073,4587.390287964904,6578.258284338069,734.551203672373,6913.793903890685,47203.83580223139,680.8415708443154,2201.7307026809704,824.338643203424,233.28451189014638,1345.832847414075
ACAd6b,11050.943792769534,4560.183076873673,6729.078402443228,814.1989183187568,7695.57081734648,30684.65248942687,711.4248787813967,2290.97181490062,936.7384639955382,347.85313089089794,1525.9864731462596
ACAv1,3076.670431641584,1220.266540086943,1846.2930181185998,192.85128490605956,2072.4173141825945,6453.034592313998,150.0245492729783,535.6167709396989,225.39469411294837,107.91355404685612,504.55308584738225
ACAv23,15645.977831676078,6455.894114393019,10102.575317283325,1282.503579685999,12822.665841612972,82170.89174582853,982.4256603793314,3261.654902780627,1534.5550583940412,804.1808767227292,2864.3074887153134
ACAv5,11869.014181871173,5285.112983883752,8187.408131652171,1310.9355072643436,11406.92788515929,42205.12297091579,1105.1494645375285,3306.2927141662663,1556.6944745081,697.3039772142847,1934.3363783819425
ACAv6a,20040.164706504736,8286.852380415103,11959.61873258172,1426.0578006873861,12905.959444771397,78404.25374760063,1329.2590995969458,4135.05501278782,1614.7512589928651,474.18561770137376,2408.0397199630543
ACAv6b,15625.561258070788,6504.606610645595,9432.210900543692,1163.964872247841,10559.369983680479,57658.316447308855,1067.0862637734044,3348.5647333484467,1323.5722315377382,416.09332705421014,1925.1037651074355
ACB,19519.98984543127,11421.27723306099,20722.02021462552,5207.788359894201,36654.092626372025,56160.17153823252,4499.903645277207,10202.202801477084,6493.654684811554,3279.6173644515475,5272.762479364992
ACVII,1928.1145008404771,1203.8480933417313,2252.648325692307,601.3357578668416,4187.371294994088,2021.094043690774,515.8653708111186,1151.409891072833,753.3239419189372,389.4467551599003,589.9151195765345
AD,17930.721905637696,9871.949698241904,16604.46512912685,3980.6403757633207,29893.972112888296,16218.151467341071,3409.695711870453,8862.42784016665,4849.684066290415,2309.0320449469264,3703.4494949427576
ADP,14527.787668907826,8292.553603606155,14789.439726338882,3621.347763535228,25470.468683359835,6885.595490669881,3157.3425648010866,7191.164946137166,4500.558842014828,2222.427355693205,3648.880357087444
AHN,29429.609377588746,13483.974827615255,21016.72858564335,3587.04167703696,28849.476942346544,2945.3639071727475,3173.4543864058046,8657.212194378368,4280.642147549338,1800.7882316558168,4635.024232042746
AId1,2278.860879623701,922.9820705972528,1398.7917095108105,162.8996793852933,1729.935684625627,3157.964850966514,123.87760805067444,457.2892429016867,190.27066861703344,93.76404979809729,377.9467450859487
AId23,7943.5915931629115,3637.1961275458325,5904.049769712411,1047.1650832422088,9790.267249292705,39065.37415319051,781.8234709336976,2591.9810134436266,1263.8837650129506,698.7789758499756,1661.9245794384665
AId5,4149.91506058553,1900.5861269951201,2963.2368711639438,509.0493182130589,4232.341616190577,12314.183846330467,438.28601468815833,1253.0418617755142,606.5500384845434,265.7647440678538,671.5402651638766
AId6a,9539.649149739416,4016.873705918536,5878.968496080337,762.5865866050707,6790.908546006323,37669.83468690888,693.9868618364155,2134.019469008523,874.5636062832377,292.55376412497094,1213.8410781710245
AId6b,13309.133058981028,5498.423769891213,7981.42878849893,965.1017657165921,9233.16080613845,46695.01857840068,849.0823301939566,2846.053122740167,1094.9958235858387,375.80755126111154,1711.2689787620325
AIp1,955.9982016280934,393.3815178696783,598.9117346479819,74.04458694727754,741.7387745673833,1497.4111358153154,58.73920871897744,200.42966287669964,86.95079315655373,41.11779064685141,156.9945935448532
AIp23,5584.021374096857,2406.464933575775,3793.673738403961,553.3980551861887,4975.030189330923,22547.197219626483,454.33273979850037,1341.8829673342607,664.9309819188696,322.1311688530404,998.919608621437
AIp5,4137.53518052225,1763.379672717262,2694.049954090295,369.6541678091474,3175.6511055792307,11730.916823706524,328.4315948767181,923.7189449945589,437.4165185667769,176.74727444767873,629.7204017845598
AIp6a,5470.391586334062,2477.051784877468,3866.2835242725937,647.203931240566,5504.078456665931,17032.43791106201,548.8507016588568,1601.896150655822,771.4325105459934,346.81038819254815,905.9498574573362
AIp6b,13141.362094256017,6619.484598523747,10952.89713400352,2288.3669558456804,17721.57287591425,42034.59377838746,1955.5614530422588,5113.778727545524,2786.52581876148,1329.1232286349443,2599.721417639605
AIv1,2524.9998783374053,1014.9989615650117,1551.99175508408,175.38750431995328,1871.2699733001373,7139.38636018473,132.36031401542206,479.5069006912228,206.4333602823228,105.11890222926725,433.3172730399818
AIv23,6735.622524762008,3011.273112183292,4847.231120456231,797.7512365240073,7214.791782492864,27716.54294348745,626.857861860489,1922.7246007779186,963.9888118798866,503.36852537526164,1323.0290628547264
AIv5,4288.315351539309,1930.7524950035831,3007.5034758610213,493.80835284562755,4150.526556179567,13014.341626482903,424.8514130285353,1213.6414419566338,588.6455257177118,258.631285561247,697.8708610402417
AIv6a,10070.50105067426,4422.452788394422,6562.444976989218,994.1549496133366,8565.834446992629,38022.410513112445,884.771691352845,2696.14832870726,1152.6344845126273,426.3423280590497,1328.1426694154684
AIv6b,8207.624239191982,3256.8805094212507,4470.1828344886335,422.5435904786234,4441.700391175526,39467.899276431395,398.75990260960367,1507.1335954507863,446.4049627329808,71.50643237773086,830.3982143703483
AMBd,4370.153391337572,2585.0409197949857,4705.828004049861,1194.6433551879861,8327.066053771365,3050.392201175839,1037.17706833041,2325.318211882718,1490.5556060783251,749.2907886381845,1188.5875404960816
AMBv,4099.9616764880475,2492.390872724359,4584.095115376276,1195.9598623182314,8316.936901489395,3807.056514738091,1034.5889489994322,2318.1992649148387,1493.8266847756452,757.1045582335697,1164.6959025315628
AMd,9803.93069539365,4966.7651022674345,7963.070625195877,1699.3384644109256,13528.101635885134,9193.143321055837,1444.259319869989,4075.4710132920027,2039.559394456081,935.5210046311877,1722.0989660856087
AMv,9215.974331381405,4676.340504959375,7409.47913070119,1584.0554717894136,12442.711225243193,8776.913440241407,1369.1194728662285,3840.4681325874863,1893.2038147303033,833.2326848048826,1507.3098188242345
ANcr1,73733.58130145275,31449.33272598609,50671.30769641119,7225.3150076193215,66488.29910132315,192365.20348369077,5714.117815313923,16804.384100698644,8793.293398677035,4647.153974420726,14515.321949980984
ANcr1granularlayer,61671.21960042448,25880.750373501756,42264.27263579906,5755.024109726418,54353.71322063296,186814.44258132757,4414.910396326749,12966.859796282843,7070.5857682992855,3971.237030545323,12862.021008236647
ANcr1molecularlayer,10995.163111210284,4929.261757953699,7227.209325786845,1167.6758092797302,10026.509805271382,5550.760902363174,1037.9410952170751,3257.2045805037005,1343.9511732092415,482.285441921659,1346.496281991096
